model,val_rmse,val_mae,val_r2,train_rmse,train_r2,gap
HistGradientBoosting,0.15042252027343989,0.1286105051152303,0.5990581277815927,0.08407308926584682,0.8737124910425537,0.06634943100759307
Stacking,0.22981713954523172,0.2054076484725244,0.06411923372338346,0.16346185393579796,0.5226035056118346,0.06635528560943377
Ridge,0.23026983404090287,0.20564037894792334,0.06042860086927526,0.22194076849612213,0.11992323341173661,0.008329065544780745
RandomForest,0.23043605077262108,0.20766239344412876,0.05907168103492588,0.08520605146747649,0.8702858765139447,0.14522999930514457
DecisionTree,0.24405089418534398,0.20871562134488733,-0.05539856357155881,0.2000351390170324,0.2850774926904066,0.04401575516831158
