i,val_rmse,val_r2,train_rmse,gap,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
2253,0.12421136703097355,0.7266126751551764,0.0835330450625476,0.04067832196842594,1.0,0.05,128,,400,15,50
424,0.12426691540916222,0.7263680982121897,0.07242565262163321,0.05184126278752901,0.0,0.03,255,,800,15,10
739,0.1243890787822967,0.7258298338321472,0.07120378284640397,0.05318529593589273,0.0,0.1,128,,400,15,10
748,0.1243890787822967,0.7258298338321472,0.07120378284640397,0.05318529593589273,0.0,0.1,128,,800,15,10
730,0.1244822327129514,0.7254190326227035,0.07283129310342491,0.05165093960952649,0.0,0.1,128,,200,15,10
488,0.12462475200620667,0.7247899390367656,0.09020009437125176,0.034424657634954905,0.0,0.05,128,7.0,200,15,20
1391,0.12463486771286188,0.724745259995309,0.056372158049290806,0.06826270966357106,0.1,0.05,128,,400,31,20
1400,0.12463486771286188,0.724745259995309,0.056372158049290806,0.06826270966357106,0.1,0.05,128,,800,31,20
1469,0.12477622470802482,0.7241205351737703,0.08415150722890678,0.04062471747911804,0.1,0.05,255,7.0,400,15,20
1478,0.12477622470802482,0.7241205351737703,0.08415150722890678,0.04062471747911804,0.1,0.05,255,7.0,800,15,20
1181,0.1251140545478356,0.722624633452321,0.08420097409707035,0.04091308045076526,0.1,0.03,128,,800,15,20
1172,0.12515448643726587,0.7224453310984502,0.0851597608996014,0.03999472553766448,0.1,0.03,128,,400,15,20
417,0.12553933312904003,0.7207357603539831,0.08737157070003662,0.03816776242900341,0.0,0.03,255,,400,15,50
426,0.12553933312904003,0.7207357603539831,0.08737157070003662,0.03816776242900341,0.0,0.03,255,,800,15,50
1183,0.1255473372842229,0.7207001484781843,0.054766500805763584,0.07078083647845931,0.1,0.03,128,,800,31,10
2153,0.12582046775951414,0.7194835829521491,0.08326638666842723,0.04255408109108691,1.0,0.03,255,,800,15,20
