i,val_rmse,val_r2,train_rmse,train_r2,gap_rmse,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
1466,0.16916140943766123,0.4929412490304347,0.07905863160151391,0.8883278259531953,0.09010277783614731,0.1,0.05,255,7.0,200,63,20
1582,0.16932803619401787,0.49194183471916353,0.07298234707500882,0.9048339514735272,0.09634568911900905,0.1,0.1,128,7.0,400,63,10
1591,0.16932803619401787,0.49194183471916353,0.07298234707500882,0.9048339514735272,0.09634568911900905,0.1,0.1,128,7.0,800,63,10
1573,0.16932803619401787,0.49194183471916353,0.07298234707500882,0.9048339514735272,0.09634568911900905,0.1,0.1,128,7.0,200,63,10
1287,0.16941824490044263,0.4914003593781091,0.07238832031583925,0.9063768209189297,0.09702992458460338,0.1,0.03,255,,400,63,50
1296,0.16941824490044263,0.4914003593781091,0.07238832031583925,0.9063768209189297,0.09702992458460338,0.1,0.03,255,,800,63,50
574,0.1694280875301583,0.4913412618074343,0.12727097286015226,0.7105956112400382,0.042157114670006046,0.0,0.05,255,5.0,200,63,10
583,0.1694280875301583,0.4913412618074343,0.12727097286015226,0.7105956112400382,0.042157114670006046,0.0,0.05,255,5.0,400,63,10
592,0.1694280875301583,0.4913412618074343,0.12727097286015226,0.7105956112400382,0.042157114670006046,0.0,0.05,255,5.0,800,63,10
382,0.16945428638944254,0.4911839406781131,0.114079428700516,0.7674796005911533,0.05537485768892654,0.0,0.03,255,7.0,200,31,10
1393,0.16945647471101302,0.4911707989586409,0.061204875720359556,0.9330703697284779,0.10825159899065347,0.1,0.05,128,,400,63,10
1402,0.16945647471101302,0.4911707989586409,0.061204875720359556,0.9330703697284779,0.10825159899065347,0.1,0.05,128,,800,63,10
2034,0.1694764142032207,0.49105104675889877,0.08589069237142737,0.8681929644943767,0.08358572183179334,1.0,0.03,128,,200,63,50
386,0.16948368726340435,0.4910073628538322,0.09302837636284358,0.8453758705503142,0.07645531090056076,0.0,0.03,255,7.0,200,63,20
1078,0.169504695267892,0.49088117274683696,0.06805225503788748,0.9172569687638366,0.10145244023000452,0.1,0.01,255,,800,63,10
1151,0.16965129402367632,0.49000015335520875,0.08346572139164156,0.8755305737246738,0.08618557263203476,0.1,0.03,128,7.0,400,63,20
1160,0.16965129402367632,0.49000015335520875,0.08346572139164156,0.8755305737246738,0.08618557263203476,0.1,0.03,128,7.0,800,63,20
682,0.16971400872750478,0.4896230221185184,0.11786887637509057,0.7517754842850224,0.05184513235241421,0.0,0.1,128,5.0,200,63,10
691,0.16971400872750478,0.4896230221185184,0.11786887637509057,0.7517754842850224,0.05184513235241421,0.0,0.1,128,5.0,400,63,10
700,0.16971400872750478,0.4896230221185184,0.11786887637509057,0.7517754842850224,0.05184513235241421,0.0,0.1,128,5.0,800,63,10
944,0.1697810012215473,0.48922001266482884,0.085256201434339,0.8701331391610859,0.0845247997872083,0.1,0.01,128,7.0,800,63,20
530,0.16998742241152007,0.4879772363009085,0.058582252294291016,0.9386833365322865,0.11140517011722906,0.0,0.05,128,,400,63,20
539,0.16998742241152007,0.4879772363009085,0.058582252294291016,0.9386833365322865,0.11140517011722906,0.0,0.05,128,,800,63,20
918,0.17009437842992453,0.48733270455758715,0.12918141013098644,0.7018420271874235,0.04091296829893809,0.1,0.01,128,5.0,800,63,50
915,0.17009437842992453,0.48733270455758715,0.12918141013098644,0.7018420271874235,0.04091296829893809,0.1,0.01,128,5.0,800,31,50
1980,0.17014438230544596,0.48703123522077774,0.13536662271397074,0.6726068619840018,0.03477775959147522,1.0,0.03,128,5.0,200,63,50
1977,0.17014438230544596,0.48703123522077774,0.13536662271397074,0.6726068619840018,0.03477775959147522,1.0,0.03,128,5.0,200,31,50
355,0.1702092283814499,0.4866401514845864,0.1285624267165928,0.7046924788888097,0.0416468016648571,0.0,0.03,255,5.0,200,31,10
