i,val_rmse,val_r2,train_rmse,train_r2,gap_rmse,model__l2_regularization,model__learning_rate,model__max_bins,model__max_depth,model__max_iter,model__max_leaf_nodes,model__min_samples_leaf
425,0.1141585738311903,0.7690740380411011,0.0716330335878668,0.9083203235263783,0.0425255402433235,0.0,0.03,255,,800,15,20
2460,0.11481962191056558,0.7663918892341999,0.07085627448543556,0.9102978167950528,0.043963347425130014,1.0,0.1,128,,200,15,50
2478,0.11481962191056558,0.7663918892341999,0.07085627448543556,0.9102978167950528,0.043963347425130014,1.0,0.1,128,,800,15,50
2469,0.11481962191056558,0.7663918892341999,0.07085627448543556,0.9102978167950528,0.043963347425130014,1.0,0.1,128,,400,15,50
1648,0.11536938934757783,0.7641494571809254,0.0734156444438484,0.9037005923228509,0.041953744903729426,0.1,0.1,255,5.0,200,15,10
1666,0.11536938934757783,0.7641494571809254,0.0734156444438484,0.9037005923228509,0.041953744903729426,0.1,0.1,255,5.0,800,15,10
1657,0.11536938934757783,0.7641494571809254,0.0734156444438484,0.9037005923228509,0.041953744903729426,0.1,0.1,255,5.0,400,15,10
2127,0.1156903143455033,0.7628354932266845,0.07685984270966452,0.8944531278113926,0.038830471635838776,1.0,0.03,255,7.0,800,15,50
2440,0.11631020368579201,0.7602871447537348,0.07216476315987844,0.9069542016966332,0.04414544052591357,1.0,0.1,128,7.0,400,15,10
2431,0.11631020368579201,0.7602871447537348,0.07216476315987844,0.9069542016966332,0.04414544052591357,1.0,0.1,128,7.0,200,15,10
2449,0.11631020368579201,0.7602871447537348,0.07216476315987844,0.9069542016966332,0.04414544052591357,1.0,0.1,128,7.0,800,15,10
2037,0.11668892290925414,0.7587235387278266,0.08165817558136698,0.880863254999795,0.03503074732788716,1.0,0.03,128,,400,15,50
2046,0.1167131352680594,0.7586234010594801,0.08083997368999384,0.8832387563588951,0.03587316157806557,1.0,0.03,128,,800,15,50
721,0.11683783404655552,0.7581073418108624,0.0627348450473107,0.9296823992098083,0.05410298899924483,0.0,0.1,128,7.0,800,15,10
712,0.11683783404655552,0.7581073418108624,0.0627348450473107,0.9296823992098083,0.05410298899924483,0.0,0.1,128,7.0,400,15,10
703,0.11712806906703978,0.756904085697127,0.06668140888257679,0.9205569481233841,0.05044666018446299,0.0,0.1,128,7.0,200,15,10
2118,0.11771525516462268,0.7544606007042387,0.08162840534229526,0.8809501068756178,0.03608684982232742,1.0,0.03,255,7.0,400,15,50
858,0.11835306111825548,0.751792624426788,0.07624030227195573,0.8961478231905653,0.04211275884629975,0.0,0.1,255,,800,15,50
840,0.11835306111825548,0.751792624426788,0.07624030227195573,0.8961478231905653,0.04211275884629975,0.0,0.1,255,,200,15,50
849,0.11835306111825548,0.751792624426788,0.07624030227195573,0.8961478231905653,0.04211275884629975,0.0,0.1,255,,400,15,50
2045,0.11839977483790698,0.7515966518368276,0.0784392666984164,0.8900707069709338,0.03996050813949058,1.0,0.03,128,,800,15,20
318,0.11877355407520067,0.750025794607339,0.07754322464561016,0.8925678914674452,0.04123032942959051,0.0,0.03,128,,800,15,50
416,0.11910564199599225,0.7486259970430675,0.08074174791740497,0.883522328831212,0.03836389407858727,0.0,0.03,255,,400,15,20
398,0.11925671730436824,0.7479878998163265,0.07867571051562226,0.8894069762279889,0.040581006788745974,0.0,0.03,255,7.0,800,15,20
