feature,correlation,abs_correlation
feat_165,-0.6289958619118982,0.6289958619118982
feat_259,0.23005500629326292,0.23005500629326292
feat_105,0.15754634524782918,0.15754634524782918
feat_58,-0.09281331809140657,0.09281331809140657
feat_190,-0.0813353257339274,0.0813353257339274
feat_225,-0.05172628683012237,0.05172628683012237
feat_221,-0.05152848363140604,0.05152848363140604
feat_88,-0.049730135348027366,0.049730135348027366
feat_170,-0.04838686199285929,0.04838686199285929
feat_39,-0.04705610628560415,0.04705610628560415
feat_257,0.046375453201024805,0.046375453201024805
feat_24,-0.043606040364152755,0.043606040364152755
feat_247,0.04246330337403676,0.04246330337403676
feat_14,0.04125781049423793,0.04125781049423793
feat_118,-0.04001449361978823,0.04001449361978823
