model,val_rmse,val_mae,val_r2,train_rmse,train_r2,gap_rmse,cv_rmse_mean,cv_rmse_std
HistGradientBoosting,0.15042252027343989,0.1286105051152303,0.5990581277815927,0.08407308926584682,0.8737124910425537,0.06634943100759307,0.1863444860621563,0.02986921012946817
Stacking,0.22981851475440468,0.2054077352807721,0.0641080332039804,0.16308584508870208,0.5247972755277699,0.0667326696657026,0.23229549481512182,0.002759084482308015
Ridge,0.23026983404090284,0.20564037894792334,0.06042860086927537,0.2219407684961221,0.11992323341173672,0.008329065544780745,0.23194160910802383,0.002749945223977849
RandomForest,0.23043605077262108,0.20766239344412876,0.05907168103492588,0.08520605146747649,0.8702858765139447,0.14522999930514457,0.23065185059100718,0.003264354317269603
DecisionTree,0.24405089418534398,0.20871562134488733,-0.05539856357155881,0.2000351390170324,0.2850774926904066,0.04401575516831158,0.2520684845580691,0.005420135288720742
