feature,mean,std,var
feat_54,24.5796,14.564713417286724,212.1308769276919
feat_82,24.501,14.517020127675602,210.74387338733857
feat_140,24.4426,14.489006120843356,209.93129836983624
feat_206,24.4026,14.481522181333965,209.71448468846762
feat_31,24.6239,14.476671101832107,209.57400619062082
feat_151,24.4986,14.475598513886318,209.54295233522777
feat_250,24.6109,14.470295094918335,209.38944013401763
feat_171,24.5807,14.460034466407,209.0925967696784
feat_145,24.5576,14.457862401423785,209.02978521850355
feat_199,24.4686,14.455355746953376,208.95730977097801
feat_32,24.7468,14.44551684972561,208.67295705570655
feat_112,24.4742,14.428809840570331,208.1905534153392
feat_125,24.2097,14.426099165876863,208.11233714371312
feat_35,24.6091,14.419836696684504,207.93169035904907
feat_197,24.5363,14.419822309499667,207.93127543754431
feat_73,24.4726,14.41627663938285,207.82903214321567
feat_139,24.7205,14.415955109744656,207.81976172617306
feat_66,24.6275,14.414406725985208,207.77512126212758
feat_52,24.4875,14.36108867171212,206.24086783677816
feat_239,24.6485,14.334388554086358,205.47469521952198
feat_94,0.2612352973271901,2.0584861319851946,4.237365155575367
feat_236,0.2637866644204424,2.054412608846778,4.220611167388624
feat_117,0.36979100244010427,2.0492221782444733,4.199311535809024
feat_200,0.3249157274738641,2.049205962903184,4.199245078397966
feat_213,0.25178540290693224,2.0468815725708094,4.189724172129949
feat_124,0.3181227461264562,2.0467822669831572,4.189317648436713
feat_267,0.2654352638680185,2.045792679424722,4.185267687187783
feat_104,0.26947228823472896,2.045748114720428,4.185085348882185
feat_42,0.3270166010810846,2.044135737214321,4.178490912156736
feat_181,0.2461698316805331,2.043356082350322,4.175304079278055
feat_39,0.27692621050304017,2.042665778080113,4.172483480939634
feat_158,0.22481824609929932,2.0425801912883155,4.172133837843411
feat_144,0.49327153847676836,2.0411838340246464,4.166431444283556
feat_65,0.5022415067542233,2.039398467791967,4.159146110432224
feat_183,0.5261788969887926,2.0375097557006447,4.151446004575302
feat_272,0.23993974536340806,2.037474197488392,4.151301105430967
feat_20,0.2506023341106323,2.036638953300998,4.147898226102986
feat_170,0.21808661041774358,2.0366195887825356,4.147819349412745
feat_63,0.2460961529615889,2.035648829816081,4.14386615833158
feat_12,0.2537872501053525,2.0355774433473606,4.143575527864577
feat_198,0.273128219938996,2.0353561747302304,4.142674758012477
feat_238,0.26618171757519465,2.03506846240369,4.1415036466701185
feat_49,0.23777384456035797,2.0343600773712875,4.138620924402112
feat_246,0.2385911523322089,2.0338390380191216,4.136501232570546
