feature,corr
feat_254,-0.1616598968799674
feat_184,-0.1597813982055909
feat_50,0.14633977587823094
feat_34,0.07162300404628326
feat_193,0.06481290124653842
feat_105,-0.05764195539909522
feat_121,0.04527776099636475
feat_68,0.03894167005811311
feat_117,-0.03504314574764054
feat_136,0.033121560625481876
feat_126,0.03201884456143006
feat_139,-0.030843486965151837
feat_110,-0.028068211282441555
feat_250,0.02711762916167386
feat_167,0.02696043985872787
feat_43,-0.025982492013914095
feat_143,-0.025845510422580237
feat_90,0.02551562802806179
feat_154,0.025223081162585325
feat_189,0.024780913069810753
feat_180,-0.024779458960311633
feat_102,-0.024615196467766588
feat_245,0.02428764486683524
feat_38,0.02420135971760806
feat_2,-0.024072229097413512
feat_100,0.023881093212344537
feat_259,-0.023356603428095004
feat_46,-0.023235837980063973
feat_12,0.02301005324262661
feat_194,-0.022925430351798278
feat_86,0.022831496346435616
feat_162,-0.02215349770587308
feat_142,0.022145063463626352
feat_115,0.021035802788344923
feat_27,0.020618890881645344
feat_225,0.020001986447727202
feat_204,-0.019961439147202942
feat_228,0.019926946866137826
feat_44,0.01987551546721579
feat_64,0.01969845410036255
feat_147,-0.019177765867693996
feat_113,0.018672409148768544
feat_247,-0.018291668786633453
feat_214,0.018213867326572757
feat_70,-0.018159460303221093
feat_23,-0.018092752606941244
feat_29,0.017933891329013393
feat_17,0.01786700356814845
feat_190,-0.017690605917681762
feat_66,-0.01767719153647899
feat_14,-0.017494642170784492
feat_97,-0.01745237243028581
feat_130,-0.017304833281084123
feat_85,-0.01726826913064798
feat_191,-0.017150941729880447
feat_20,-0.01666651333244197
feat_236,0.01664903407446701
feat_200,0.01648476147887678
feat_103,-0.015672950238225705
feat_98,-0.015456022157500398
feat_131,0.015350746492786591
feat_36,0.015148477206312887
feat_242,0.014873676778204585
feat_232,0.014839088551179519
feat_58,0.014770203592440209
feat_141,0.014761174127341221
feat_87,0.01466329193966686
feat_177,0.014463800764401047
feat_62,0.014365852056036025
feat_77,-0.014117937487326142
feat_198,0.013983415854443978
feat_122,-0.01393056596075226
feat_106,-0.013862508739477662
feat_227,-0.013833467795844203
feat_152,-0.013811419468737991
feat_8,-0.013717810135548496
feat_224,-0.013395641735153088
feat_195,0.013306738204827091
feat_202,0.013026093039546148
feat_132,-0.012972016903534733
feat_67,0.012899784460086407
feat_40,0.012619344080974633
feat_79,0.012355458572585663
feat_230,-0.012270593330866972
feat_124,0.01225888964198202
feat_264,0.012186336564140466
feat_134,0.012178868465121506
feat_226,0.012046039804030647
feat_221,0.012030911513193628
feat_241,0.011940451466295241
feat_234,-0.011915630777041416
feat_196,0.011840216223205713
feat_82,0.01179756293901565
feat_123,-0.011796976078072114
feat_266,-0.011791303032404263
feat_6,-0.011676858707858234
feat_237,0.01147714962724078
feat_268,0.011431916964229936
feat_150,0.011336648066902877
feat_216,-0.011306513916345733
feat_78,0.011285812520149254
feat_256,-0.011144160796473433
feat_207,-0.010972595701152209
feat_4,0.010940507698673411
feat_208,-0.010921450833507998
feat_65,0.010757761944870214
feat_263,-0.010752315155517432
feat_173,0.010584787680438128
feat_45,-0.01050174868400749
feat_41,0.01046860164619632
feat_157,-0.010446383418436051
feat_186,0.01039296533459421
feat_116,0.010315999298976787
feat_267,0.010090154121257534
feat_1,0.009845730569564882
feat_249,0.009653753207061916
feat_125,-0.009553670136841406
feat_30,0.009541856213742855
feat_217,-0.009520108772941809
feat_72,0.009515521238076455
feat_179,-0.00916429889331156
feat_206,0.009042672565827657
feat_76,-0.008969471870265725
feat_211,-0.008836999628264066
feat_161,-0.008818434882811865
feat_165,-0.008510994205196755
feat_51,0.008443602201847533
feat_37,-0.008335804968923234
feat_148,0.008211340718666927
feat_109,-0.008158048742643977
feat_61,-0.008144383557088419
feat_235,-0.00812638026974435
feat_11,0.008123594173625638
feat_120,0.008077756175510034
feat_262,-0.0080681218796926
feat_209,-0.007875659271719506
feat_197,0.007851724491926353
feat_71,-0.007824368041156693
feat_80,-0.007824069611729765
feat_243,0.007715678472593169
feat_24,-0.007674359934193515
feat_181,0.007612989457542734
feat_111,-0.007595737029716642
feat_59,0.007403356337748906
feat_52,-0.007261312472271333
feat_222,-0.007189660189272991
feat_53,0.007185707044304608
feat_94,0.007114891346833038
feat_95,0.007028950388863961
feat_89,0.007027565394340513
feat_22,-0.006948063490491065
feat_163,-0.006903413088529495
feat_246,-0.0068047580332820795
feat_213,0.006681576235130459
feat_99,-0.006621979679171465
feat_265,0.006337200185107695
feat_153,0.006328707737801793
feat_39,0.006219091625411363
feat_7,0.006214412768130348
feat_201,-0.0061864809640342555
feat_140,0.0061563891005717115
feat_32,-0.006125526155729761
feat_21,0.006061482972846125
feat_159,0.006044142080233361
feat_239,0.005962250851773677
feat_199,0.00593355591993156
feat_49,0.005897623947367849
feat_171,0.005897525735632314
feat_92,-0.005893839488907774
feat_212,0.005874986493145739
feat_271,-0.0057560125526447264
feat_166,0.005708218922893714
feat_69,0.005704499199667913
feat_137,0.005667336599950816
feat_251,0.005549777231644607
feat_220,0.005524379632683235
feat_223,0.005514179481369989
feat_175,-0.005469203241545243
